Geography,2010 Mood Disorders Hospitalization No.,2010 Mood Disorders Hospitalization Rate*,2010 Male Mood Disorders Hospitalization No.,2010 Male Mood Disorders Hospitalization Rate*,2010 Female Mood Disorders Hospitalization No.,2010 Female Mood Disorders Hospitalization Rate*,2010 White Mood Disorders Hospitalization No.,2010 White Mood Disorders Hospitalization Rate*,2010 Black Mood Disorders Hospitalization No.,2010 Black Mood Disorders Hospitalization Rate*,2010 Hispanic Mood Disorders Hospitalization No.,2010 Hispanic Mood Disorders Hospitalization Rate*,2010 API‡ Mood Disorders Hospitalization No.,2010 API‡ Mood Disorders Hospitalization Rate*,2010 Other Race‡ Mood Disorders Hospitalization No.,2010 Other Race‡ Mood Disorders Hospitalization Rate*,2010 Ages 0‐14 Mood Disorders Hospitalization No.,2010 Ages 0‐14 Mood Disorders Hospitalization Rate*,2010 Ages 15-24 Mood Disorders Hospitalization No.,2010 Ages 15-24 Mood Disorders Hospitalization Rate*,2010 Ages 25-44 Mood Disorders Hospitalization No.,2010 Ages 25-44 Mood Disorders Hospitalization Rate*,2010 Ages 45-64 Mood Disorders Hospitalization No.,2010 Ages 45-64 Mood Disorders Hospitalization Rate*,2010 Ages 65+ Mood Disorders Hospitalization No.,2010 Ages 65+ Mood Disorders Hospitalization Rate*,2011 Mood Disorders Hospitalization No.,2011 Mood Disorders Hospitalization Rate*,2011 Male Mood Disorders Hospitalization No.,2011 Male Mood Disorders Hospitalization Rate*,2011 Female Mood Disorders Hospitalization No.,2011 Female Mood Disorders Hospitalization Rate*,2011 White Mood Disorders Hospitalization No.,2011 White Mood Disorders Hospitalization Rate*,2011 Black Mood Disorders Hospitalization No.,2011 Black Mood Disorders Hospitalization Rate*,2011 Hispanic Mood Disorders Hospitalization No.,2011 Hispanic Mood Disorders Hospitalization Rate*,2011 API‡ Mood Disorders Hospitalization No.,2011 API‡ Mood Disorders Hospitalization Rate*,2011 Other Race‡ Mood Disorders Hospitalization No.,2011 Other Race‡ Mood Disorders Hospitalization Rate*,2011 Ages 0‐14 Mood Disorders Hospitalization No.,2011 Ages 0‐14 Mood Disorders Hospitalization Rate*,2011 Ages 15-24 Mood Disorders Hospitalization No.,2011 Ages 15-24 Mood Disorders Hospitalization Rate*,2011 Ages 25-44 Mood Disorders Hospitalization No.,2011 Ages 25-44 Mood Disorders Hospitalization Rate*,2011 Ages 45-64 Mood Disorders Hospitalization No.,2011 Ages 45-64 Mood Disorders Hospitalization Rate*,2011 Ages 65+ Mood Disorders Hospitalization No.,2011 Ages 65+ Mood Disorders Hospitalization Rate*,2012 Mood Disorders Hospitalization No.,2012 Mood Disorders Hospitalization Rate*,2012 Male Mood Disorders Hospitalization No.,2012 Male Mood Disorders Hospitalization Rate*,2012 Female Mood Disorders Hospitalization No.,2012 Female Mood Disorders Hospitalization Rate*,2012 White Mood Disorders Hospitalization No.,2012 White Mood Disorders Hospitalization Rate*,2012 Black Mood Disorders Hospitalization No.,2012 Black Mood Disorders Hospitalization Rate*,2012 Hispanic Mood Disorders Hospitalization No.,2012 Hispanic Mood Disorders Hospitalization Rate*,2012 API‡ Mood Disorders Hospitalization No.,2012 API‡ Mood Disorders Hospitalization Rate*,2012 Other Race‡ Mood Disorders Hospitalization No.,2012 Other Race‡ Mood Disorders Hospitalization Rate*,2012 Ages 0‐14 Mood Disorders Hospitalization No.,2012 Ages 0‐14 Mood Disorders Hospitalization Rate*,2012 Ages 15-24 Mood Disorders Hospitalization No.,2012 Ages 15-24 Mood Disorders Hospitalization Rate*,2012 Ages 25-44 Mood Disorders Hospitalization No.,2012 Ages 25-44 Mood Disorders Hospitalization Rate*,2012 Ages 45-64 Mood Disorders Hospitalization No.,2012 Ages 45-64 Mood Disorders Hospitalization Rate*,2012 Ages 65+ Mood Disorders Hospitalization No.,2012 Ages 65+ Mood Disorders Hospitalization Rate*,2010 Mood Disorders Emergency Department Discharge No.,2010 Mood Disorders Emergency Department Discharge Rate*,2010 Male Mood Disorders Emergency Department Discharge No.,2010 Male Mood Disorders Emergency Department Discharge Rate*,2010 Female Mood Disorders Emergency Department Discharge No.,2010 Female Mood Disorders Emergency Department Discharge Rate*,2010 White Mood Disorders Emergency Department Discharge No.,2010 White Mood Disorders Emergency Department Discharge Rate*,2010 Black Mood Disorders Emergency Department Discharge No.,2010 Black Mood Disorders Emergency Department Discharge Rate*,2010 Hispanic Mood Disorders Emergency Department Discharge No.,2010 Hispanic Mood Disorders Emergency Department Discharge Rate*,2010 API‡ Mood Disorders Emergency Department Discharge No.,2010 API‡ Mood Disorders Emergency Department Discharge Rate*,2010 Other Race‡ Mood Disorders Emergency Department Discharge No.,2010 Other Race‡ Mood Disorders Emergency Department Discharge Rate*,2010 Ages 0‐14 Mood Disorders Emergency Department Discharge No.,2010 Ages 0‐14 Mood Disorders Emergency Department Discharge Rate*,2010 Ages 15-24 Mood Disorders Emergency Department Discharge No.,2010 Ages 15-24 Mood Disorders Emergency Department Discharge Rate*,2010 Ages 25-44 Mood Disorders Emergency Department Discharge No.,2010 Ages 25-44 Mood Disorders Emergency Department Discharge Rate*,2010 Ages 45-64 Mood Disorders Emergency Department Discharge No.,2010 Ages 45-64 Mood Disorders Emergency Department Discharge Rate*,2010 Ages 65+ Mood Disorders Emergency Department Discharge No.,2010 Ages 65+ Mood Disorders Emergency Department Discharge Rate*,2011 Mood Disorders Emergency Department Discharge No.,2011 Mood Disorders Emergency Department Discharge Rate*,2011 Male Mood Disorders Emergency Department Discharge No.,2011 Male Mood Disorders Emergency Department Discharge Rate*,2011 Female Mood Disorders Emergency Department Discharge No.,2011 Female Mood Disorders Emergency Department Discharge Rate*,2011 White Mood Disorders Emergency Department Discharge No.,2011 White Mood Disorders Emergency Department Discharge Rate*,2011 Black Mood Disorders Emergency Department Discharge No.,2011 Black Mood Disorders Emergency Department Discharge Rate*,2011 Hispanic Mood Disorders Emergency Department Discharge No.,2011 Hispanic Mood Disorders Emergency Department Discharge Rate*,2011 API‡ Mood Disorders Emergency Department Discharge No.,2011 API‡ Mood Disorders Emergency Department Discharge Rate*,2011 Other Race‡ Mood Disorders Emergency Department Discharge No.,2011 Other Race‡ Mood Disorders Emergency Department Discharge Rate*,2011 Ages 0‐14 Mood Disorders Emergency Department Discharge No.,2011 Ages 0‐14 Mood Disorders Emergency Department Discharge Rate*,2011 Ages 15-24 Mood Disorders Emergency Department Discharge No.,2011 Ages 15-24 Mood Disorders Emergency Department Discharge Rate*,2011 Ages 25-44 Mood Disorders Emergency Department Discharge No.,2011 Ages 25-44 Mood Disorders Emergency Department Discharge Rate*,2011 Ages 45-64 Mood Disorders Emergency Department Discharge No.,2011 Ages 45-64 Mood Disorders Emergency Department Discharge Rate*,2011 Ages 65+ Mood Disorders Emergency Department Discharge No.,2011 Ages 65+ Mood Disorders Emergency Department Discharge Rate*,2012 Mood Disorders Emergency Department Discharge No.,2012 Mood Disorders Emergency Department Discharge Rate*,2012 Male Mood Disorders Emergency Department Discharge No.,2012 Male Mood Disorders Emergency Department Discharge Rate*,2012 Female Mood Disorders Emergency Department Discharge No.,2012 Female Mood Disorders Emergency Department Discharge Rate*,2012 White Mood Disorders Emergency Department Discharge No.,2012 White Mood Disorders Emergency Department Discharge Rate*,2012 Black Mood Disorders Emergency Department Discharge No.,2012 Black Mood Disorders Emergency Department Discharge Rate*,2012 Hispanic Mood Disorders Emergency Department Discharge No.,2012 Hispanic Mood Disorders Emergency Department Discharge Rate*,2012 API‡ Mood Disorders Emergency Department Discharge No.,2012 API‡ Mood Disorders Emergency Department Discharge Rate*,2012 Other Race‡ Mood Disorders Emergency Department Discharge No.,2012 Other Race‡ Mood Disorders Emergency Department Discharge Rate*,2012 Ages 0‐14 Mood Disorders Emergency Department Discharge No.,2012 Ages 0‐14 Mood Disorders Emergency Department Discharge Rate*,2012 Ages 15-24 Mood Disorders Emergency Department Discharge No.,2012 Ages 15-24 Mood Disorders Emergency Department Discharge Rate*,2012 Ages 25-44 Mood Disorders Emergency Department Discharge No.,2012 Ages 25-44 Mood Disorders Emergency Department Discharge Rate*,2012 Ages 45-64 Mood Disorders Emergency Department Discharge No.,2012 Ages 45-64 Mood Disorders Emergency Department Discharge Rate*,2012 Ages 65+ Mood Disorders Emergency Department Discharge No.,2012 Ages 65+ Mood Disorders Emergency Department Discharge Rate*
San Diego County (Actual Rate),9849,318.2,4200,270.3,5649,366.4,6864,457.6,716,488.4,1544,155.69999999999999,309,90.5,213,184,732,122.8,2228,449.3,2876,322.60000000000002,3193,419.9,820,233.3,10307,330.8,4361,279.10000000000002,5946,382.9,6964,465.6,702,491.2,1657,163.9,339,97.2,370,314.10000000000002,802,135.1,2457,492.8,3086,346.4,3141,407.4,821,226.9,10755,342.1,4651,295.10000000000002,6104,389.4,7093,475.3,742,532.29999999999995,1881,181.7,304,85.4,475,394,854,141.80000000000001,2563,509.8,3109,349.3,3232,417.6,997,266.2,4752,153.5,2303,148.19999999999999,2449,158.9,3209,213.9,401,273.5,844,85.1,123,36,127,109.7,155,26,1009,203.5,1703,191,1580,207.8,305,86.8,5179,166.2,2459,157.30000000000001,2720,175.1,3345,223.7,451,315.60000000000002,940,93,163,46.7,207,175.7,190,32,1043,209.2,1942,218,1644,213.2,360,99.5,5380,171.2,2581,163.80000000000001,2799,178.6,3531,236.6,426,305.60000000000002,997,96.3,154,43.3,244,202.4,205,34,1203,239.3,1852,208.1,1716,221.7,404,107.9
San Diego County (Age‐Adjusted Rate),9849,310.7,,,,,,,,,,,,,,,,,,,,,,,,,10307,322.5,,,,,,,,,,,,,,,,,,,,,,,,,10755,334.7,,,,,,,,,,,,,,,,,,,,,,,,,4752,149,,,,,,,,,,,,,,,,,,,,,,,,,5179,161.6,,,,,,,,,,,,,,,,,,,,,,,,,5380,166.8,,,,,,,,,,,,,,,,,,,,,,,,
Central Region,2157,445.3,1069,431.6,1088,459.6,1266,881.4,329,580.5,419,205,65,101.8,49,309,102,113.6,324,389.7,759,470.1,833,780.6,139,321.2,2190,451,1112,448.2,1078,453.9,1294,909.3,293,534.1,418,201.1,79,122.4,51,318.2,97,107.7,373,464.5,762,468.7,816,751.9,142,322.3,2399,490.8,1212,485.8,1187,496.1,1386,978.8,350,659.8,485,228.4,59,90.3,67,408.7,154,166.9,404,514.29999999999995,812,496.8,835,763.2,194,430.1,961,198.4,534,215.6,427,180.4,532,370.4,182,321.10000000000002,189,92.5,26,40.700000000000003,19,119.8,21,23.4,124,149.1,382,236.6,391,366.4,43,99.4,1005,207,562,226.5,443,186.5,566,397.7,199,362.8,177,85.2,30,46.5,22,137.30000000000001,22,24.4,123,153.19999999999999,418,257.10000000000002,386,355.7,56,127.1,1127,230.6,694,278.10000000000002,433,181,678,478.8,181,341.2,192,90.4,28,42.8,41,250.1,25,27.1,156,198.6,416,254.5,455,415.9,75,166.3
Central San Diego,1082,653.5,597,659.5,485,646.20000000000005,753,915,113,984.1,158,274.2,21,247.1,26,458,26,134.30000000000001,108,469.8,392,562.20000000000005,473,1246.4000000000001,83,534,1049,632.1,610,673.4,439,582.4,729,890.7,106,953.8,133,226.8,25,290,26,453.4,16,79.599999999999994,135,651,391,555.29999999999995,437,1130.0999999999999,70,436.2,1209,724.7,684,752.6,525,691.4,798,979.8,146,1359.2,182,303.3,18,205.1,38,648.79999999999995,19,88.8,166,872.3,458,648.20000000000005,459,1175.0999999999999,107,641.79999999999995,482,291.10000000000002,303,334.7,179,238.5,321,390.1,80,696.7,66,114.5,<5,§,9,158.5,<5,§,42,182.7,187,268.2,218,574.5,31,199.5,548,330.2,346,382,202,268,371,453.3,91,818.8,53,90.4,15,174,14,244.2,5,24.9,44,212.2,234,332.3,232,600,33,205.6,631,378.3,421,463.2,210,276.5,433,531.70000000000005,96,893.7,62,103.3,7,79.8,27,461,<5,§,49,257.5,239,338.3,292,747.6,47,281.89999999999998
Mid‐City,610,374.1,264,325.10000000000002,346,422.8,353,760,92,476.2,127,185.5,20,84.9,12,228.4,42,124.2,103,309.5,212,420.6,216,659.2,37,289.39999999999998,671,411.2,292,359.3,379,462.6,393,859.1,81,430.9,128,184,32,134.5,19,358.3,34,100.6,125,386.5,234,461.8,236,704.9,42,325.39999999999998,625,379,280,341,345,416.7,358,784.8,85,462.5,125,175.4,23,95,15,276.10000000000002,60,174,102,318.39999999999998,180,351.6,216,634.4,67,509.2,245,150.30000000000001,121,149,124,151.5,144,310,30,155.30000000000001,54,78.900000000000006,7,29.7,5,95.2,<5,§,38,114.2,101,200.4,96,293,7,54.8,237,145.19999999999999,121,148.9,116,141.6,120,262.3,50,266,53,76.2,6,25.2,6,113.1,5,14.8,38,117.5,103,203.3,76,227,15,116.2,255,154.6,137,166.9,118,142.5,152,333.2,36,195.9,48,67.3,9,37.200000000000003,9,165.7,8,23.2,52,162.30000000000001,93,181.7,83,243.8,19,144.4
Southeastern San Diego,465,298.39999999999998,208,273.8,257,321.89999999999998,160,1073.9000000000001,124,479.2,134,171.2,24,75.400000000000006,11,223.3,34,92.7,113,420.6,155,375.1,144,400,19,127,470,300.5,210,275.39999999999998,260,324.3,172,1168.7,106,424.9,157,197.2,22,68.5,6,120.2,47,129.80000000000001,113,415.2,137,330.1,143,393.1,30,198.6,565,359.8,248,324.10000000000002,317,393.7,230,1582.3,119,497.4,178,219.5,18,55.6,14,274.3,75,206.2,136,494.7,174,418.4,160,440.8,20,130.9,234,150.19999999999999,110,144.80000000000001,124,155.30000000000001,67,449.7,72,278.2,69,88.1,16,50.3,5,101.5,14,38.200000000000003,44,163.80000000000001,94,227.5,77,213.9,5,33.4,220,140.69999999999999,95,124.6,125,155.9,75,509.6,58,232.5,71,89.2,9,28,<5,§,12,33.1,41,150.6,81,195.2,78,214.4,8,53,241,153.5,136,177.7,105,130.4,93,639.79999999999995,49,204.8,82,101.1,12,37.1,5,98,13,35.700000000000003,55,200,84,202,80,220.4,9,58.9
East Region,2035,439.4,826,362.2,1209,514.29999999999995,1574,563.6,132,496.7,231,199.8,27,130.6,30,142.9,131,145.6,495,722.4,532,439,701,550,176,314.60000000000002,2025,433.9,787,342.5,1238,522.70000000000005,1458,522.5,134,514.5,255,214.4,20,94.3,94,438.6,117,131.19999999999999,454,654.29999999999995,635,525.20000000000005,632,491,187,319.7,2150,457.5,905,390.8,1245,522.20000000000005,1518,545.70000000000005,103,404.4,297,242,27,124.8,149,677.7,157,174.6,489,698.6,674,558.9,612,477.4,218,355.8,867,187.2,391,171.5,476,202.5,645,231,64,240.8,113,97.7,20,96.7,17,81,26,28.9,216,315.2,309,255,274,215,42,75.099999999999994,959,205.5,426,185.4,533,225,664,238,77,295.60000000000002,107,90,10,47.1,66,308,29,32.5,190,273.8,389,321.7,282,219.1,69,118,973,207,421,181.8,552,231.5,671,241.2,73,286.60000000000002,121,98.6,9,41.6,94,427.6,30,33.4,208,297.10000000000002,356,295.2,300,234,79,128.9
Alpine,64,425.7,24,321.8,40,528,54,457.2,<5,§,6,270.89999999999998,<5,§,<5,§,<5,§,23,1165.7,14,427.7,22,451.7,<5,§,52,343,18,238.9,34,445.9,45,382.6,<5,§,<5,§,<5,§,<5,§,<5,§,19,896.2,13,409.2,12,244.2,5,224.6,73,479.4,28,370.7,45,586.5,46,394.2,<5,§,9,363.3,<5,§,12,2234.6,10,381.8,24,1080.0999999999999,18,574.70000000000005,15,312.39999999999998,6,244.8,24,159.6,13,174.3,11,145.19999999999999,22,186.3,<5,§,<5,§,<5,§,<5,§,<5,§,7,354.8,10,305.5,7,143.69999999999999,<5,§,22,145.1,9,119.5,13,170.5,17,144.5,<5,§,<5,§,<5,§,<5,§,<5,§,<5,§,9,283.3,7,142.5,<5,§,27,177.3,11,145.6,16,208.5,19,162.80000000000001,<5,§,<5,§,<5,§,<5,§,<5,§,8,360,8,255.4,6,124.9,<5,§
El Cajon,438,351.7,188,308.60000000000002,250,393.1,327,443.9,35,500.1,54,162.9,7,157.6,7,111.5,28,109.9,102,518.79999999999995,95,287.8,166,523.70000000000005,47,320.39999999999998,433,345.7,195,317.89999999999998,238,372.4,302,410.8,37,539.9,49,144.19999999999999,<5,§,30,471.1,27,106.7,98,497.7,128,386.6,124,387.1,56,370.2,474,376.1,237,383.5,237,368.9,335,457,20,298.5,59,169.1,7,151.19999999999999,46,706.3,27,105.4,91,463.6,155,467.8,141,440.4,60,383.6,203,163,101,165.8,102,160.4,148,200.9,16,228.6,31,93.5,<5,§,<5,§,<5,§,48,244.2,72,218.1,73,230.3,8,54.5,219,174.8,103,167.9,116,181.5,159,216.3,22,321,19,55.9,<5,§,14,219.8,6,23.7,40,203.1,90,271.8,66,206,17,112.4,216,171.4,101,163.4,115,179,157,214.2,11,164.2,20,57.3,<5,§,27,414.6,5,19.5,41,208.9,77,232.4,71,221.8,22,140.6
Harbison Crest/El Cajon,758,544.70000000000005,302,442.6,456,642.79999999999995,579,678.8,45,631.79999999999995,95,269.5,11,233.9,11,161.6,50,180.1,168,780.5,170,474.3,284,768.9,86,502.7,813,580.6,323,470.1,490,687,584,686,60,859,91,251.4,6,124.5,45,652.20000000000005,42,152.6,183,845.7,255,710.6,235,630.6,98,553.29999999999995,812,576.20000000000005,368,531.6,444,619.29999999999995,588,692.8,36,526.5,96,257.60000000000002,10,204,69,979.1,49,176.3,163,751.9,278,774.4,235,632.5,87,473.1,350,251.5,159,233,191,269.3,260,304.8,20,280.8,51,144.69999999999999,6,127.6,9,132.19999999999999,7,25.2,81,376.3,131,365.5,117,316.8,14,81.8,368,262.8,162,235.8,206,288.8,269,316,29,415.2,34,93.9,<5,§,24,347.8,9,32.700000000000003,67,309.60000000000002,149,415.2,115,308.60000000000002,28,158.1,404,286.7,171,247,233,325,309,364.1,20,292.5,31,83.2,<5,§,41,581.79999999999995,9,32.4,92,424.4,138,384.4,132,355.3,33,179.5
