Region,SRA Number,Area,Persons per household - occupied housing units,Year,Median household income,Income per person in households,% change from county (income per person in HH)
1,41,Carlsbad,2.51,2012,$89108.00,$35501.00,38.15%
1,42,Oceanside,2.86,2012,$70503.00,$24651.00,-4.07%
1,43,Pendleton,3.5,2012,$52692.00,$15055.00,-41.42%
1,40,San Dieguito,2.51,2012,$103305.00,$41157.00,60.16%
1,52,Vista,3.14,2012,$61044.00,$19441.00,-24.35%
2,11,Coastal,2.02,2012,$85455.00,$42304.00,64.62%
2,13,Del Mar-Mira Mesa,2.9,2012,$115528.00,$39837.00,55.02%
2,17,Elliott-Navajo,2.51,2012,$83438.00,$33242.00,29.36%
2,10,Kearny Mesa,2.44,2012,$68676.00,$28146.00,9.53%
2,16,Miramar,3.91,2012,$45498.00,$11636.00,-54.72%
2,2,Peninsula,2.11,2012,$71475.00,$33874.00,31.82%
2,12,University,2.18,2012,$73746.00,$33828.00,31.64%
3,1,Central San Diego,1.95,2012,$52607.00,$26978.00,4.98%
3,6,Mid City,2.8,2012,$45873.00,$16383.00,-36.25%
3,5,Southeastern San Diego,3.7,2012,$56626.00,$15304.00,-40.45%
4,21,Chula Vista,3.05,2012,$47821.00,$15679.00,-38.99%
4,3,Coronado,2.31,2012,$99889.00,$43242.00,68.27%
4,4,National City,3.43,2012,$41936.00,$12226.00,-52.42%
4,22,South Bay,3.51,2012,$54417.00,$15503.00,-39.67%
4,20,Sweetwater,3.33,2012,$94927.00,$28507.00,10.93%
5,38,Alpine,2.72,2012,$91041.00,$33471.00,30.25%
5,34,El Cajon,2.84,2012,$55429.00,$19517.00,-24.05%
5,37,Harbison-Crest,2.7,2012,$83290.00,$30848.00,20.04%
5,30,Jamul,3.1,2012,$121168.00,$39086.00,52.1%
5,33,La Mesa,2.32,2012,$60838.00,$26223.00,2.04%
5,61,Laguna-Pine Valley,2.46,2012,$69316.00,$28177.00,9.65%
5,36,Lakeside,2.84,2012,$71155.00,$25055.00,-2.5%
5,32,Lemon Grove,3.07,2012,$60434.00,$19685.00,-23.4%
5,62,Mountain Empire,2.88,2012,$59014.00,$20491.00,-20.26%
5,35,Santee,2.73,2012,$78300.00,$28681.00,11.61%
5,31,Spring Valley,2.97,2012,$74965.00,$25241.00,-1.78%
6,63,Anza-Borrego,2.15,2012,$49948.00,$23232.00,-9.6%
6,50,Escondido,3.1,2012,$61751.00,$19920.00,-22.48%
6,55,Fallbrook,2.84,2012,$72011.00,$25356.00,-1.33%
6,14,North San Diego,2.68,2012,$104474.00,$38983.00,51.7%
6,60,Palomar-Julian,2.21,2012,$57946.00,$26220.00,2.03%
6,54,Pauma,3.11,2012,$83094.00,$26718.00,3.97%
6,15,Poway,2.8,2012,$117506.00,$41966.00,63.31%
6,39,Ramona,2.98,2012,$88991.00,$29863.00,16.21%
6,51,San Marcos,2.97,2012,$65489.00,$22050.00,-14.19%
6,53,Valley Center,2.88,2012,$85004.00,$29515.00,14.86%
