Region,Area,Year,Population for whom poverty status is determined,Total population above poverty,Total population below poverty,Income 50% of poverty level (population for whom poverty status is determined),Income 50% to 74% of poverty level (population for whom poverty status is determined),Income 75% to 99% of poverty level (population for whom poverty status is determined),Income 100% to 124% of poverty level (population for whom poverty status is determined),Income 125% to 149% of poverty level (population for whom poverty status is determined),Income 150% to 199% of poverty level (population for whom poverty status is determined),Income 200% of poverty level or higher (population for whom poverty status is determined),"Families (total, all relationships) for whom poverty status is determined","Families (total, married couple) for whom poverty status is determined","Families (total, male householder, no wife present) for whom poverty status is determined","Families (total, female householder, no husband present) for whom poverty status is determined","Families (with children, all relationships) for whom poverty status is determined","Families (with children, married couple) for whom poverty status is determined","Families (with kids, male householder, no wife present) for whom poverty status is determined","Families (with kids, female householder, no husband present) for whom poverty status is determined","Families (without kids, all relationships) for whom poverty status is determined","Families (without kids, married couple) for whom poverty status is determined","Families (without kids, male householder, no wife present) for whom poverty status is determined","Families (without kids, female householder, no husband present) for whom poverty status is determined","Above poverty families (total, all relationships)","Above poverty families (total, married couple)","Above poverty families (total, male householder, no wife present)","Above poverty families (total, female householder, no husband present)","Above poverty families (with kids, all relationships)","Above poverty families (with kids, married couple)","Above poverty families (with kids, male householder, no wife present)","Above poverty families (with kids, female householder, no husband present)","Above poverty families (without kids, all relationships)","Above poverty families (without kids, married couple)","Above poverty families (without kids, male householder, no wife present)","Above poverty families (without kids, female householder, no husband present)","Below poverty families (total, all relationships)","Below poverty families (total, married couple)","Below poverty families (total, male householder, no wife present)","Below poverty families (total, female householder, no husband present)","Below poverty families (with kids, all relationships)","Below poverty families (with kids, married couple)","Below poverty families (with kids, male householder, no wife present)","Below poverty families (with kids, female householder, no husband present)","Below poverty families (without kids, all relationships)","Below poverty families (without kids, married couple)","Below poverty families (without kids, male householder, no wife present)","Below poverty families (without kids, female householder, no husband present)"
1,Carlsbad,2012,114674,103385,11289,8026,1571,1692,2771,3252,6815,90547,30261,24160,1777,4324,13318,10074,816,2428,16943,14086,961,1896,27935,22667,1690,3578,11773,9261,729,1783,16162,13406,961,1795,2326,1493,87,746,1545,813,87,645,781,680,0,101
1,Oceanside,2012,159169,139503,19666,9047,3431,7188,9623,6468,17466,105946,37533,27815,3014,6704,19118,13167,1677,4274,18415,14648,1337,2430,34018,25990,2827,5201,16557,12005,1537,3015,17461,13985,1290,2186,3515,1825,187,1503,2561,1162,140,1259,954,663,47,244
1,Pendleton,2012,23751,21215,2536,1257,565,714,1312,2043,2551,15309,6525,5650,67,808,5200,4325,67,808,1325,1325,0,0,5806,5352,67,387,4530,4076,67,387,1276,1276,0,0,719,298,0,421,670,249,0,421,49,49,0,0
1,San Dieguito,2012,92491,83631,8860,5750,1152,1958,2474,1985,5820,73352,23657,19472,1343,2842,11497,9039,644,1814,12160,10433,699,1028,21977,18487,1113,2377,10488,8485,556,1447,11489,10002,557,930,1680,985,230,465,1009,554,88,367,671,431,142,98
1,Vista,2012,97426,83586,13840,7627,2065,4148,7182,5561,13902,56941,22692,16575,2079,4038,11592,7720,1247,2625,11100,8855,832,1413,20216,15042,1882,3292,10063,7018,1065,1980,10153,8024,817,1312,2476,1533,197,746,1529,702,182,645,947,831,15,101
2,Coastal,2012,72071,64379,7692,5147,1267,1278,1937,1561,4642,56239,14170,11779,858,1533,4840,3831,309,700,9330,7948,549,833,13701,11554,820,1327,4638,3789,281,568,9063,7765,539,759,469,225,38,206,202,42,28,132,267,183,10,74
2,Del Mar-Mira Mesa,2012,161551,152683,8868,4100,2116,2652,2796,3522,6951,139414,40504,32798,2540,5166,22104,17894,1175,3035,18400,14904,1365,2131,38704,31877,2396,4431,20915,17357,1106,2452,17789,14520,1290,1979,1800,921,144,735,1189,537,69,583,611,384,75,152
2,Elliott-Navajo,2012,89447,82906,6541,3854,1040,1647,2126,2482,5846,72452,22858,17715,1591,3552,10868,7833,902,2133,11990,9882,689,1419,21945,17466,1454,3025,10206,7646,870,1690,11739,9820,584,1335,913,249,137,527,662,187,32,443,251,62,105,84
2,Kearny Mesa,2012,149823,129700,20123,9484,4360,6279,5754,5198,11908,106840,33030,23813,3070,6147,14738,10193,1244,3301,18292,13620,1826,2846,30188,22626,2741,4821,12551,9388,992,2171,17637,13238,1749,2650,2842,1187,329,1326,2187,805,252,1130,655,382,77,196
2,Miramar,2012,1905,1665,240,22,108,110,191,209,274,991,498,419,9,70,426,347,9,70,72,72,0,0,440,394,9,37,368,322,9,37,72,72,0,0,58,25,0,33,58,25,0,33,0,0,0,0
